,PV Current,PV Voltage,PV Energy,clusters_pred
373,4.1,0.0,0.0,1
374,4.3,0.0,0.0,1
375,4.4,0.0,0.0,1
376,11.7,2.7,0.0,1
377,26.8,24.5,0.0,1
378,37.0,35.8,0.0,1
379,43.8,29.0,0.0,1
380,48.4,46.1,0.0,1
381,51.6,61.0,0.0,1
382,53.9,63.2,0.0,1
383,55.4,77.1,0.0,1
384,56.6,146.9,0.0,0
385,57.5,166.5,0.0,0
386,58.1,118.0,100.0,0
387,58.8,136.7,100.0,0
388,58.9,140.3,100.0,0
389,59.0,164.9,100.0,0
390,59.3,151.2,200.0,0
391,59.5,131.4,200.0,0
392,59.7,160.9,200.0,0
393,59.9,92.9,200.0,0
394,60.4,284.9,300.0,0
395,60.6,275.3,300.0,0
396,60.5,87.6,300.0,0
397,59.7,45.9,0.0,0
398,59.5,89.5,0.0,0
399,59.5,48.2,0.0,0
400,59.4,44.1,0.0,0
401,59.4,54.7,0.0,0
402,59.3,17.0,0.0,0
403,59.2,6.2,0.0,0
404,5.4,0.0,0.0,1
405,18.1,24.4,0.0,1
406,31.2,32.5,0.0,1
407,40.0,38.5,0.0,1
408,45.9,35.3,0.0,1
409,49.9,51.1,0.0,1
410,52.6,94.9,0.0,1
411,54.7,78.4,0.0,1
412,56.2,64.1,0.0,1
413,57.1,40.7,0.0,0
414,57.6,93.4,0.0,0
415,58.1,70.5,100.0,0
416,58.4,119.5,100.0,0
417,58.5,129.2,100.0,0
418,58.6,145.0,100.0,0
419,58.7,187.1,200.0,0
420,59.0,225.6,200.0,0
421,59.3,193.3,200.0,0
422,59.7,157.8,300.0,0
423,59.8,207.7,300.0,0
424,60.1,193.5,300.0,0
425,60.7,34.8,0.0,0
426,60.6,47.3,0.0,0
427,60.3,34.5,0.0,0
428,60.0,33.8,0.0,0
429,59.9,44.1,0.0,0
430,59.7,42.5,0.0,0
431,59.4,45.1,0.0,0
432,59.2,18.4,0.0,0
433,59.0,22.7,0.0,0
434,4.4,0.0,0.0,1
435,4.5,0.0,0.0,1
436,15.1,17.7,0.0,1
437,29.3,38.5,0.0,1
438,39.0,37.9,0.0,1
439,45.6,62.5,0.0,1
440,50.1,33.6,0.0,1
441,52.8,40.5,0.0,1
442,54.7,45.7,0.0,1
443,56.0,39.4,0.0,1
444,56.8,68.8,0.0,0
445,57.5,105.2,0.0,0
446,57.8,120.1,0.0,0
447,58.3,162.6,100.0,0
448,58.8,134.2,100.0,0
449,58.9,143.6,100.0,0
450,59.4,338.0,200.0,0
451,59.6,257.1,200.0,0
452,59.8,219.4,200.0,0
453,60.0,123.0,300.0,0
454,59.8,102.6,300.0,0
455,59.5,67.0,300.0,0
456,59.4,95.0,300.0,0
457,59.3,85.6,300.0,0
458,60.3,88.5,0.0,0
459,60.3,102.7,0.0,0
460,60.4,51.2,0.0,0
461,60.3,59.3,0.0,0
462,60.0,31.5,0.0,0
463,59.7,25.7,0.0,0
464,59.5,14.1,0.0,0
465,59.3,11.7,0.0,0
466,59.1,8.3,0.0,0
467,4.9,0.0,0.0,1
468,5.5,0.0,0.0,1
469,9.8,44.7,0.0,1
470,25.6,28.1,0.0,1
471,36.3,33.7,0.0,1
472,43.3,44.7,0.0,1
473,48.2,32.6,0.0,1
474,51.6,51.0,0.0,1
475,54.0,63.9,0.0,1
476,55.6,67.3,0.0,1
477,56.7,92.6,0.0,0
478,57.6,149.6,0.0,0
479,58.3,183.3,100.0,0
480,58.9,191.6,100.0,0
481,59.5,130.9,100.0,0
482,59.8,137.4,100.0,0
483,59.8,185.6,200.0,0
484,60.1,219.7,200.0,0
485,60.5,238.8,200.0,0
486,60.6,242.7,300.0,0
487,60.7,175.4,300.0,0
488,60.8,39.6,0.0,0
489,60.5,21.7,0.0,0
490,60.3,52.0,0.0,0
491,60.2,23.1,0.0,0
492,60.1,17.2,0.0,0
493,60.1,10.2,0.0,0
494,59.8,8.3,0.0,0
495,59.6,11.5,0.0,0
496,59.5,4.4,0.0,0
497,4.8,0.0,0.0,1
498,5.0,0.0,0.0,1
499,5.5,0.0,0.0,1
500,22.1,28.4,0.0,1
501,33.9,37.2,0.0,1
502,41.9,44.8,0.0,1
503,47.1,45.1,0.0,1
504,50.8,63.0,0.0,1
505,53.6,52.9,0.0,1
506,55.5,80.6,0.0,1
507,56.8,79.1,0.0,0
508,57.5,98.5,0.0,0
509,58.1,121.0,0.0,0
510,58.3,129.0,100.0,0
511,58.6,90.4,100.0,0
512,58.9,153.2,100.0,0
513,59.1,151.1,100.0,0
514,59.4,191.7,200.0,0
515,59.4,171.8,200.0,0
516,59.8,88.7,200.0,0
517,60.1,229.9,300.0,0
518,60.3,267.0,300.0,0
519,60.8,193.2,300.0,0
520,61.6,38.9,0.0,0
521,61.4,32.5,0.0,0
522,60.9,22.4,0.0,0
523,60.7,14.3,0.0,0
524,60.5,35.8,0.0,0
525,60.4,22.6,0.0,0
526,60.2,8.3,0.0,0
527,60.0,12.3,0.0,0
528,59.9,1.4,0.0,0
529,4.4,0.0,0.0,1
530,4.6,0.0,0.0,1
531,4.8,0.0,0.0,1
532,4.7,0.0,0.0,1
533,4.8,0.0,0.0,1
534,29.1,32.7,0.0,1
535,38.5,35.9,0.0,1
536,44.9,42.2,0.0,1
537,49.3,51.0,0.0,1
538,52.2,56.8,0.0,1
539,54.2,57.9,0.0,1
540,55.7,88.3,0.0,1
541,56.7,116.4,0.0,0
542,57.6,158.8,0.0,0
543,58.3,111.2,100.0,0
544,58.7,158.8,100.0,0
545,59.2,226.1,100.0,0
546,59.5,131.9,100.0,0
547,59.6,293.5,200.0,0
548,59.8,143.6,200.0,0
549,59.9,148.5,200.0,0
550,59.9,180.0,300.0,0
551,60.2,243.3,300.0,0
552,60.0,38.4,0.0,0
553,59.8,50.5,0.0,0
554,59.7,31.3,0.0,0
555,59.6,61.7,0.0,0
556,59.6,26.4,0.0,0
557,59.5,10.9,0.0,0
558,59.3,10.2,0.0,0
559,59.2,23.0,0.0,0
560,59.1,8.6,0.0,0
561,59.0,2.8,0.0,0
562,0.0,0.0,0.0,1
563,8.1,0.2,0.0,1
564,24.5,19.2,0.0,1
565,35.6,23.5,0.0,1
566,43.1,18.2,0.0,1
567,48.1,25.1,0.0,1
568,51.4,35.4,0.0,1
569,53.9,69.5,0.0,1
570,55.7,99.3,0.0,1
571,56.7,45.1,0.0,0
572,57.4,116.1,0.0,0
573,58.1,84.4,0.0,0
574,58.4,48.6,100.0,0
575,58.6,150.8,100.0,0
576,59.1,147.6,100.0,0
577,59.3,86.3,100.0,0
578,59.5,159.8,100.0,0
579,59.9,246.6,200.0,0
580,60.3,264.3,200.0,0
581,60.6,265.9,300.0,0
582,60.7,196.0,300.0,0
583,60.6,93.5,300.0,0
584,60.2,103.1,300.0,0
585,59.8,44.3,300.0,0
586,59.7,96.5,0.0,0
587,59.7,53.4,0.0,0
588,59.7,10.0,0.0,0
589,59.7,59.2,0.0,0
590,59.7,30.0,0.0,0
591,59.6,20.6,0.0,0
592,59.4,3.9,0.0,0
593,5.3,0.0,0.0,1
594,16.5,20.3,0.0,1
595,30.0,33.8,0.0,1
596,39.0,30.3,0.0,1
597,45.3,38.4,0.0,1
598,49.6,47.1,0.0,1
599,52.4,43.1,0.0,1
600,54.4,55.8,0.0,1
601,55.8,98.7,0.0,1
602,57.0,92.3,0.0,0
603,57.7,52.7,0.0,0
604,58.2,52.1,0.0,0
605,58.6,95.5,100.0,0
606,59.0,99.1,100.0,0
607,59.3,98.9,100.0,0
608,59.5,117.9,100.0,0
609,59.5,188.8,100.0,0
610,59.7,58.9,200.0,0
611,59.9,115.2,200.0,0
612,60.0,186.4,200.0,0
613,60.1,298.5,300.0,0
614,60.1,198.5,300.0,0
615,60.4,241.1,300.0,0
616,59.7,50.8,0.0,0
617,59.6,15.0,0.0,0
618,59.7,9.7,0.0,0
619,59.6,32.7,0.0,0
620,59.5,15.3,0.0,0
621,59.4,11.3,0.0,0
622,59.4,0.0,0.0,0
623,58.8,0.0,0.0,0
624,3.9,0.0,0.0,1
625,3.9,0.0,0.0,1
